"Id","Name","CreatedDate","UpdatedDate"
1,Nigeria,"1900-01-01 00:00:00","1900-01-01 00:00:00"
2,Afghanistan,"1900-01-01 00:00:00","1900-01-01 00:00:00"
3,Antigua and Barbuda,"1900-01-01 00:00:00","1900-01-01 00:00:00"
4,Anguilla,"1900-01-01 00:00:00","1900-01-01 00:00:00"
5,Albania,"1900-01-01 00:00:00","1900-01-01 00:00:00"
6,Armenia,"1900-01-01 00:00:00","1900-01-01 00:00:00"
7,Netherlands Antilles,"1900-01-01 00:00:00","1900-01-01 00:00:00"
8,Angola,"1900-01-01 00:00:00","1900-01-01 00:00:00"
9,Antarctica,"1900-01-01 00:00:00","1900-01-01 00:00:00"
10,Argentina,"1900-01-01 00:00:00","1900-01-01 00:00:00"
11,American Samoa,"1900-01-01 00:00:00","1900-01-01 00:00:00"
12,Austria,"1900-01-01 00:00:00","1900-01-01 00:00:00"
13,Australia,"1900-01-01 00:00:00","1900-01-01 00:00:00"
14,Aruba,"1900-01-01 00:00:00","1900-01-01 00:00:00"
15,Azerbaijan,"1900-01-01 00:00:00","1900-01-01 00:00:00"
16,Bosnia and Herzegovina,"1900-01-01 00:00:00","1900-01-01 00:00:00"
17,Barbados,"1900-01-01 00:00:00","1900-01-01 00:00:00"
18,Bangladesh,"1900-01-01 00:00:00","1900-01-01 00:00:00"
19,Belgium,"1900-01-01 00:00:00","1900-01-01 00:00:00"
20,Burkina Faso,"1900-01-01 00:00:00","1900-01-01 00:00:00"
21,Bulgaria,"1900-01-01 00:00:00","1900-01-01 00:00:00"
22,Bahrain,"1900-01-01 00:00:00","1900-01-01 00:00:00"
23,Burundi,"1900-01-01 00:00:00","1900-01-01 00:00:00"
24,Benin,"1900-01-01 00:00:00","1900-01-01 00:00:00"
25,Bermuda,"1900-01-01 00:00:00","1900-01-01 00:00:00"
26,Brunei,"1900-01-01 00:00:00","1900-01-01 00:00:00"
27,Bolivia,"1900-01-01 00:00:00","1900-01-01 00:00:00"
28,Brazil,"1900-01-01 00:00:00","1900-01-01 00:00:00"
29,Bahamas,"1900-01-01 00:00:00","1900-01-01 00:00:00"
30,Bhutan,"1900-01-01 00:00:00","1900-01-01 00:00:00"
31,Bouvet Island,"1900-01-01 00:00:00","1900-01-01 00:00:00"
32,Botswana,"1900-01-01 00:00:00","1900-01-01 00:00:00"
33,Belarus,"1900-01-01 00:00:00","1900-01-01 00:00:00"
34,Belize,"1900-01-01 00:00:00","1900-01-01 00:00:00"
35,Canada,"1900-01-01 00:00:00","1900-01-01 00:00:00"
36,Cocos [Keeling] Islands,"1900-01-01 00:00:00","1900-01-01 00:00:00"
37,Congo [DRC],"1900-01-01 00:00:00","1900-01-01 00:00:00"
38,Central African Republic,"1900-01-01 00:00:00","1900-01-01 00:00:00"
39,Congo [Republic],"1900-01-01 00:00:00","1900-01-01 00:00:00"
40,Switzerland,"1900-01-01 00:00:00","1900-01-01 00:00:00"
41,Côte d'Ivoire,"1900-01-01 00:00:00","1900-01-01 00:00:00"
42,Cook Islands,"1900-01-01 00:00:00","1900-01-01 00:00:00"
43,Chile,"1900-01-01 00:00:00","1900-01-01 00:00:00"
44,Cameroon,"1900-01-01 00:00:00","1900-01-01 00:00:00"
