"Id","Name","Description","StateId","CreatedDate","UpdatedDate"
1,Bende,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
2,Ikwuano,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
3,Aba North,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
4,Aba South,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
5,Arochukwu,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
6,Isiala Ngwa North,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
7,Isiala Ngwa South,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
8,Isuikwuato,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
9,Obi Ngwa,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
10,Ohafia,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
11,Osisioma Ngwa,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
12,Ugwunagbo,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
13,Ukwa East,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
14,Ukwa West,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
15,Umuahia North,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
16,Umuahia South,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
17,Umu Nneochi,"",1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
18,Girei,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
19,Gombi,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
20,Jada,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
21,Demsa,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
22,Fufore,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
23,Ganye,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
24,Lamurde,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
25,Madagali,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
26,Maiha,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
27,Mayo-Belwa,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
28,Guyuk,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
29,Hong,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
30,Michika,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
31,Numan,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
32,Shelleng,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
33,Song,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
34,Mubi North,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
35,Mubi South,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
36,Toungo,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
37,Yola North,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
38,Yola South,"",2,"2024-04-20 00:00:00","2024-04-20 00:00:00"
39,Ikono,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
40,Eket,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
41,Esit-Eket,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
42,Abak,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
43,Eastern Obolo,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
44,Ibesikpo-Asutan,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
45,Ibeno,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
46,Ibiono-Ibom,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
47,Ika,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
48,Essien Udim,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
49,Etim-Ekpo,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
50,Etinan,"",3,"2024-04-20 00:00:00","2024-04-20 00:00:00"
