"Id","Name","Description","CreatedDate","UpdatedDate"
1,Mathematics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
2,English,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
3,Chemistry,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
4,Physics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
5,Biology,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
6,Literature in English,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
7,Government,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
8,CRK or IRK,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
9,Yoruba / Igbo / Hausa,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
10,Economics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
11,Accounting ,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
12,Commerce ,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
13,History ,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
14,Geography ,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
15,Agriculture ,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
16,Civil Education,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
