"Id","Name","Description","CreatedDate","UpdatedDate"
1,English,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
2,Mathematics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
3,Fine Arts,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
4,Music,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
5,French,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
6,Animal Husbandary,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
7,Insurance,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
8,Chemistry,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
9,Physics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
10,Yoruba,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
11,Biology,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
12,Geography,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
13,Literature In English,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
14,Economics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
15,Commerce,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
16,Accounting,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
17,Government,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
18,Igbo,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
19,Christian Religious Knowledge(CRK),"","2024-04-20 23:13:25","2024-04-20 23:13:25"
20,Agricultural Science,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
21,Islamic Religious Knowledge(IRK),"","2024-04-20 23:13:25","2024-04-20 23:13:25"
22,History,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
23,Civic Education,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
24,Further Mathematics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
25,Arabic,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
26,Home Economics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
27,Data Processing,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
28,Catering Craft Practics,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
29,Computer Studies,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
30,Marketing,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
31,Physical Education,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
32,Office Practice,"","2024-04-20 23:13:25","2024-04-20 23:13:25"
